asin,price
B000F83SZQ,30
B000FA64PA,3
B000FA64PK,63
B000FA64QO,65
B000FBFMVG,39
B000FC1BN8,75
B000FC1TG2,35
B000FC26RI,65
B000FC2MB8,32
B000FDJ0FS,50
B000GFK7L6,75
B000HA4FKY,30
B000HC48T0,71
B000JMKNQ0,84
B000JMKU0Y,80
B000JMKX4W,48
B000JMKXYW,53
B000JML1QG,99
B000JML2H4,82
B000JML5JY,9
B000JMLBHU,25
B000JMLG4S,75
B000JMLHFG,6
B000JMLHYC,72
B000JMLLOI,26
B000JQU8GQ,18
B000JQURFI,22
B000JQUSBQ,51
B000JQUT8S,53
B000JQUTGK,51
B000JQUU00,8
B000JQUXBQ,27
B000MAH6G4,80
B000MAH73Q,6
B000MAH8NU,50
B000MV9B66,26
B000N8V3EQ,14
B000N8V3FA,90
B000N8V468,98
B000NJL7Y6,10
B000NY11RY,41
B000OI0FGC,32
B000OI11GK,57
B000PATZGK,74
B000PDZG6K,10
B000PIT0RG,44
B000Q6Z64S,57
B000Q9J0CO,24
B000Q9J0CY,14
B000QCS8YM,41
B000QFOD8E,13
B000QUCOB2,77
B000R3NNAE,4
B000R93D4Y,98
B000R93D8U,22
B000R93DEO,7
B000R93DJE,33
B000R93DPS,28
B000R93DQC,91
B000R93DW6,59
B000R93E3E,6
B000SEGE3K,80
B000SIZG8A,59
B000SN6IOQ,73
B000SRGF2W,69
B000SRGFEU,8
B000SWV6HG,8
B000TU16PE,39
B000U0NSV8,5
B000UB9NCK,81
B000UH5Z0I,2
B000UH5Z3A,84
B000UHAFGM,16
B000UMZMK6,83
B000UMZMME,62
B000UMZMP6,51
B000VKVZP8,0
B000VKVZQM,23
B000VLCVAU,83
B000VWM0KU,55
B000VXV7K8,1
B000W4RFNO,2
B000W915JE,81
B000W93AHO,95
B000WCWUWM,51
B000WCWV30,12
B000WCWVN0,34
B000WSFBO0,33
B000X1XI32,36
B000XZKZKM,97
B000ZBTYXS,28
B000ZBTYYW,53
B000ZC8DPM,96
B000ZKNRPK,45
B000ZLMDAE,83
B0010CDZE0,31
B0010LG77I,30
B0010YVSB0,2
B0010YXO6M,38
B0010Z5RHK,62
B0010ZGPB2,95
B0011ECV42,74
B0011TS2X6,5
B00124KDQY,15
B0012JLKJI,71
B0012JQZN4,98
B0012W11BM,78
B0012W11D0,75
B00134D6RQ,8
B0013N884S,30
B0013N88EI,49
B0013TPUX4,14
B0013TQVPK,14
B00149M19E,83
B0014BRMKA,66
B0014JD6PC,20
B0014YB7LM,24
B0015SY0JI,98
B0015YEQ6O,99
B0015YEQ6Y,41
B0015YEQ8W,90
B0015YEQCI,28
B0015YEQNM,73
B0015Z7VF6,25
B0015Z7VFG,26
B0015Z7VFQ,55
B0015Z7VWE,39
B0015Z7WL4,3
B00164WE1W,54
B001684KWY,57
B0016IXM8C,23
B0016IXM96,88
B0016IXMCI,12
B0016IXMDW,78
B0016IXMF0,8
B0016RR5KE,64
B0017DPWO8,42
B0017HNV1U,6
B0017I7XY0,76
B0017T0C2Y,58
B0017Y914Y,4
B00186Z0XW,90
B001892DFC,9
B001892DG6,36
B001892DGG,44
B001892DGQ,31
B001892DH0,42
B001892DIO,24
B001892DJS,67
B001892DK2,95
B001892DWA,41
B001892DWK,85
B001892DX4,6
B001892EI8,14
B001892EIS,39
B00189ZCY6,90
B0018GY5QU,4
B0018GYCRM,8
B0018ND83O,30
B001949VGK,70
B0019F4UEW,2
B0019ZDE2G,50
B001A06VJ8,16
B001A4E2OA,15
B001ACHADM,63
B001AS6H7Q,61
B001AWYAZ8,86
B001B4G89Q,5
B001BAJA9K,97
B001BM2ZFO,28
B001BMKG8M,66
B001BRD238,31
B001BUPF62,10
B001BXN5HA,54
B001BXNQ0Q,72
B001BXNQ2O,34
B001BZW5CO,65
B001C8VA26,24
B001CMQ6JY,41
B001CMQ6P8,36
B001CN45IC,49
B001CN45KU,65
B001CN45MS,58
B001CN45ZA,13
B001CN47MG,64
B001CN47NA,22
B001CNR8HM,66
B001CNR8HW,40
B001CNR8KO,21
B001D49LPW,66
B001D49LRU,69
B001D64682,70
B001D6468M,69
B001D69R0O,73
B001DBEQC8,52
B001DCD3ZI,25
B001DOHZ5A,9
B001DOHZ6O,33
B001DUGORO,61
B001DX54F4,97
B001E28M2Q,96
B001E4146U,12
B001E50WMG,93
B001E9672G,68
B001ECQK8O,68
B001EOCFMM,77
B001ET66ZE,73
B001EW51RA,52
B001EWEB5I,91
B001F7AJHQ,24
B001FB52E2,69
B001FB5ST6,3
B001FB5T4K,32
B001FB6COQ,10
B001FOR93Q,12
B001FQ8UOG,85
B001G0ML00,8
B001GF6U4S,14
B001GIPJ2Y,42
B001GNCPWG,13
B001GPOO64,97
B001GS6ZJA,52
B001GS6ZPE,87
B001GS7YZO,44
B001H53VNA,69
B001H55R8M,21
B001HN5MO8,55
B001HQHCBQ,21
B001HZY846,81
B001IP0UII,69
B001IP0UIS,44
B001IP0UVA,38
B001ISOPTA,38
B001ISOPTK,84
B001IWL1ZM,76
B001J1S7GS,45
B001J1S86W,87
B001J4SYZO,53
B001J6OUZA,42
B001KBZ3D2,52
B001KC6X7G,87
B001KC6X9E,4
B001KC6XH6,75
B001KC6Y16,58
B001L5T1JO,32
B001L5T22U,66
B001LKLAPC,0
B001LWV4DS,85
B001M0OB0M,36
B001NIZLZM,9
B001NPDA44,22
B001O0EFBK,66
B001O2SCKI,85
B001O5CHQU,5
B001O5CLNE,38
B001P05XYC,23
B001P5H8UY,39
B001Q3KT1K,64
B001Q3LAAE,38
B001Q9EC3U,88
B001QBPM14,53
B001QIGZR2,85
B001QIGZY0,81
B001QIGZZ4,24
B001QOGLOS,53
B001QOGLPC,65
B001QTXLQ4,9
B001R4GN6I,31
B001RF3U9U,87
B001RNONH0,23
B001RV3OLS,91
B001RV3ON6,75
B001RV3ONG,28
B001RV3OOA,95
B001S2RLX8,90
B001SN83KM,27
B001T4YZ16,62
B001TJ1O4W,50
B001TK41W8,5
B001TOCGNU,20
B001TUYV7S,96
B001U0Q17K,82
B001U3YBEC,26
B001U891AQ,15
B001UE7D0K,76
B001UFP4UU,3
B001UFP5PO,36
B001UHMTRO,55
B001ULBOTO,86
B001UV3EUG,42
B001UV3FIC,63
B001V5JCTI,10
B001V5JDLU,17
B001V5JF54,81
B001V5JK9A,7
B001V5JX9C,20
B001V7R694,90
B001V9K7WU,40
B001V9KG4E,19
B001VEHZ34,20
B001VEHZRK,37
B001VEI1NC,21
B001VH6NWU,11
B001VLXH7U,48
B001VLXMB6,66
B001VLXMD4,73
B001VLXME8,85
B001VLXML6,22
B001VNCPJY,0
B001W1TZTS,77
B001W1XT40,14
B001W1XT6I,70
B001W6R7NO,51
B001WAJHS8,72
B001XURN06,13
B001YQF0OK,51
B001YQF59K,15
B001YQG4I6,62
B00200JXAG,67
B00200LSWC,99
B0020BUX0Y,60
B0020HR7KW,43
B0021L9YCG,39
B0021L9YDK,83
B0022NGHXC,50
B0023B12TW,22
B0023EF9T8,0
B0023EF9YI,4
B0023EFATC,48
B0023RTBB2,3
B0023W5ZQC,35
B0023W6HQE,97
B0023ZLM20,80
B0024CEY2C,2
B0024FARCU,27
B0024FB01W,19
B0024NJVKG,92
B00260GOLG,19
